teamA,teamB,week,season
"Manchester United","Liverpool",15,1970-01-01T00:00:02.014Z
"Swansea City","Tottenham Hotspur",15,1970-01-01T00:00:02.014Z
"Everton","Queens Park Ra…",15,1970-01-01T00:00:02.014Z
"Chelsea","West Ham United",15,1970-01-01T00:00:02.014Z
"Burnley","Liverpool",15,1970-01-01T00:00:02.014Z
"Crystal Palace","Southampton",15,1970-01-01T00:00:02.014Z
"Everton","Stoke City",15,1970-01-01T00:00:02.014Z
"Leicester City","Tottenham Hotspur",15,1970-01-01T00:00:02.014Z
"Manchester United","Newcastle United",15,1970-01-01T00:00:02.014Z
"Sunderland","Hull City",15,1970-01-01T00:00:02.014Z
"Swansea City","Aston Villa",15,1970-01-01T00:00:02.014Z
"West Bromwich …","Manchester City",15,1970-01-01T00:00:02.014Z
"Arsenal","Queens Park Ra…",15,1970-01-01T00:00:02.014Z
"Manchester City","Crystal Palace",15,1970-01-01T00:00:02.014Z
"Aston Villa","Manchester United",15,1970-01-01T00:00:02.014Z
"Hull City","Swansea City",15,1970-01-01T00:00:02.014Z
"Queens Park Ra…","West Bromwich …",15,1970-01-01T00:00:02.014Z
"Southampton","Everton",15,1970-01-01T00:00:02.014Z
"Tottenham Hotspur","Burnley",15,1970-01-01T00:00:02.014Z
"West Ham United","Leicester City",15,1970-01-01T00:00:02.014Z
"Newcastle United","Sunderland",15,1970-01-01T00:00:02.014Z
"Liverpool","Arsenal",15,1970-01-01T00:00:02.014Z
"Stoke City","Chelsea",15,1970-01-01T00:00:02.014Z
"Tottenham Hotspur","Manchester United",15,1970-01-01T00:00:02.014Z
"Southampton","Chelsea",15,1970-01-01T00:00:02.014Z
"Aston Villa","Sunderland",15,1970-01-01T00:00:02.014Z
"Hull City","Leicester City",15,1970-01-01T00:00:02.014Z
"Manchester City","Burnley",15,1970-01-01T00:00:02.014Z
"Queens Park Ra…","Crystal Palace",15,1970-01-01T00:00:02.014Z
"Stoke City","West Bromwich …",15,1970-01-01T00:00:02.014Z
"West Ham United","Arsenal",15,1970-01-01T00:00:02.014Z
"Newcastle United","Everton",15,1970-01-01T00:00:02.014Z
"Liverpool","Swansea City",15,1970-01-01T00:00:02.014Z
